tenant_id,provider_type,idle_timeout_min,session_max_h,mfa_required,mfa_required_for_roles,mfa_allowed_methods,password_complexity,metadata_url,entity_id,x509_cert,provider_label,scim_token_hash,scim_token_last_four,jit_provisioning,enforce_for_non_admins,password_expiry_days,created_at,updated_at,scim_group_role_map
53593c55-c616-4faa-a65a-145d3eb44d36,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:41:41.374463+00,2026-07-16 08:41:41.374463+00,{}
07300000-0000-4000-8000-000000000000,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:39.839004+00,2026-07-16 08:45:39.839004+00,{}
17200000-0000-4000-8000-000000000000,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:42.167049+00,2026-07-16 08:45:42.167049+00,{}
18800000-0000-4000-8000-000000000001,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:50.314514+00,2026-07-16 08:45:50.314514+00,{}
214df257-2bb7-4198-9e71-81ebb2570f22,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:52.298455+00,2026-07-16 08:45:52.298455+00,{}
f2a0de10-02d4-4db3-92a0-4171eb3f20e8,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:54.394434+00,2026-07-16 08:45:54.394434+00,{}
bd773726-a504-4c47-8316-07ab849ed668,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:54.395341+00,2026-07-16 08:45:54.395341+00,{}
220756f5-cdb1-4dac-af9a-8e77da5b0130,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:55.602451+00,2026-07-16 08:45:55.602451+00,{}
78ab54d1-3f3b-4ab8-9efe-ece47cdb7810,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:55.682405+00,2026-07-16 08:45:55.682405+00,{}
7d984dd3-4c3f-4a48-92a2-82979c6a58f7,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:07.038602+00,2026-07-16 08:46:07.038602+00,{}
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:52.286379+00,2026-07-16 08:46:08.378606+00,{}
bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:52.286379+00,2026-07-16 08:46:08.378606+00,{}
bfd9eb9c-c72d-4a3b-ad0b-80606832eaaf,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:09.315499+00,2026-07-16 08:46:09.315499+00,{}
598af52f-b954-462a-8b40-9c08697a989a,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:45:52.933672+00,2026-07-16 08:45:52.933672+00,{}
b14dbbf7-2b09-4e7f-a737-009f54e6fd72,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:10.907524+00,2026-07-16 08:46:10.907524+00,{}
a94e1d11-1250-48f2-ac59-3bd1f327c71d,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:14.506722+00,2026-07-16 08:46:14.506722+00,{}
652e3a38-65cf-4dae-a32d-c2adce0d32d0,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:14.506653+00,2026-07-16 08:46:14.506653+00,{}
76624b49-4382-45c9-b416-3ae7357de093,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:17.102627+00,2026-07-16 08:46:17.102627+00,{}
65dded98-fd22-4bf6-867d-54f022651385,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:14.800484+00,2026-07-16 08:47:14.800484+00,{}
